match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name,result
3889786,2023-11-12,03:10:00.000,Mexico - Liga MX,2023/2024,Tigres UANL,América,0,0,,False,False,Complete,Normal,available,available,2023-12-08T20:45:25.955220,2023-12-08T20:45:25.955220,17,Apertura,Estadio Universitario de Nuevo León,Diego Montaño Robles,Robert Dante Siboldi Badiola,André Soares Jardine,1.1.0,2,2,2023/2024,Draw
3917858,2023-12-10,02:00:00.000,Mexico - Liga MX,2023/2024,América,Atlético San Luis,0,2,,False,False,Complete,Normal,available,available,2023-12-11T11:49:27.975190,2023-12-11T11:49:27.975190,23,Semi-finals,Estadio Azteca,César Arturo Ramos Palazuelos,André Soares Jardine,Gustavo Jose Da Silva Leal,1.1.0,2,2,2023/2024,Loss
3889728,2023-10-04,03:00:00.000,Mexico - Liga MX,2023/2024,América,Pachuca,4,0,,False,False,Complete,Normal,available,available,2023-10-14T02:12:48.725474,2023-10-14T02:12:48.725474,11,Apertura,Estadio Azteca,Marco Antonio Ortíz Nava,André Soares Jardine,Jorge Guillermo Almada Álves,1.1.0,2,2,2023/2024,Win
3919016,2024-02-22,03:00:00.000,Mexico - Liga MX,2023/2024,América,Mazatlán,2,2,,False,False,Complete,Normal,available,available,2024-02-22T13:48:19.887860,2024-02-22T13:48:19.887860,9,Clausura,Estadio Azteca,Ismael Rosario Lopez Peñuelas,André Soares Jardine,Ismael Rescalvo Sánchez,1.1.0,2,2,2023/2024,Draw
3889699,2023-09-03,03:10:00.000,Mexico - Liga MX,2023/2024,Cruz Azul,América,2,3,,False,False,Complete,Normal,available,available,2023-09-05T20:07:33.507778,2023-09-05T20:07:33.507778,7,Apertura,Estadio Azteca,Daniel Quintero Huittrón,Joaquín Moreno Garduño,André Soares Jardine,1.1.0,2,2,2023/2024,Win
3918974,2024-01-28,03:05:00.000,Mexico - Liga MX,2023/2024,Necaxa,América,0,0,,False,False,Complete,Normal,available,available,2024-02-10T22:10:53.297347,2024-02-10T22:10:53.297347,3,Clausura,Estadio Victoria de Aguascalientes,Diego Montaño Robles,Eduardo Fentanes Orozco,André Soares Jardine,1.1.0,2,2,2023/2024,Draw
3919036,2024-03-03,03:10:00.000,Mexico - Liga MX,2023/2024,Atlas,América,1,5,,False,False,Complete,Normal,available,available,2024-03-14T16:38:12.399615,2024-03-14T16:38:12.399615,10,Clausura,Estadio Jalisco,Fernando Guerrero Ramírez,Beñat San José Gil,André Soares Jardine,1.1.0,2,2,2023/2024,Win
3889660,2023-07-16,01:00:00.000,Mexico - Liga MX,2023/2024,América,Puebla,3,0,,False,False,Complete,Normal,available,available,2023-07-16T21:55:43.616199,2023-07-16T21:55:43.616199,3,Apertura,Estadio Azteca,Víctor Alfonso Cáceres Hernández,André Soares Jardine,Eduardo Arce Peña,1.1.0,2,2,2023/2024,Win
3918375,2023-12-18,01:30:00.000,Mexico - Liga MX,2023/2024,América,Tigres UANL,3,0,,False,False,Complete,Normal,available,available,2024-02-13T12:23:30.297161,2024-02-13T12:23:30.297161,25,Apertura - Final,Estadio Azteca,Adonai Escobedo González,André Soares Jardine,Robert Dante Siboldi Badiola,1.1.0,2,2,2023/2024,Win
3918991,2024-02-04,03:10:00.000,Mexico - Liga MX,2023/2024,América,Monterrey,1,1,,False,False,Complete,Normal,available,available,2024-06-12T03:37:32.224120,2024-06-12T03:37:32.224120,5,Clausura,Estadio Azteca,César Arturo Ramos Palazuelos,André Soares Jardine,Fernando Ortiz,1.1.0,2,2,2023/2024,Draw
3919062,2024-03-30,02:00:00.000,Mexico - Liga MX,2023/2024,América,Atlético San Luis,2,1,,False,False,Complete,Normal,available,available,2024-03-30T14:49:28.794468,2024-03-30T14:49:28.794468,13,Clausura,Estadio Azteca,Jesus Rafael Lopez Valle,André Soares Jardine,Gustavo Jose Da Silva Leal,1.1.0,2,2,2023/2024,Win
3889653,2023-09-21,02:06:00.000,Mexico - Liga MX,2023/2024,Querétaro,América,1,2,,False,False,Complete,Normal,available,available,2023-09-23T20:46:41.038766,2023-09-23T20:46:41.038766,2,Apertura,Estadio La Corregidora,Diego Montaño Robles,Mauro Néstor Gerk Larrea,André Soares Jardine,1.1.0,2,2,2023/2024,Win
3889637,2023-07-01,01:00:00.000,Mexico - Liga MX,2023/2024,América,Juárez,1,2,,False,False,Complete,Normal,available,available,2023-07-01T14:20:34.669214,2023-07-01T14:20:34.669214,1,Apertura,Estadio Azteca,Ismael Rosario Lopez Peñuelas,André Soares Jardine,Diego Andrei Mejía Campo,1.1.0,2,2,2023/2024,Loss
3936617,2024-05-09,03:16:00.000,Mexico - Liga MX,2023/2024,Pachuca,América,1,1,,False,False,Complete,Normal,available,available,2024-05-15T16:49:34.590495,2024-05-15T16:49:34.590495,20,Clausura - Quarter-finals,Estadio Hidalgo,Fernando Guerrero Ramírez,Jorge Guillermo Almada Álves,André Soares Jardine,1.1.0,2,2,2023/2024,Draw
3918957,2024-01-14,03:00:00.000,Mexico - Liga MX,2023/2024,Tijuana,América,0,2,,False,False,Complete,Normal,available,available,2024-01-23T01:34:55.080506,2024-01-23T01:34:55.080506,1,Clausura,Estadio Caliente,Edgar Allan Morales Olvera,Miguel Ernesto Herrera Aguirre,André Soares Jardine,1.1.0,2,2,2023/2024,Win
3889681,2023-08-24,01:00:00.000,Mexico - Liga MX,2023/2024,América,Necaxa,3,2,,False,False,Complete,Normal,available,available,2023-09-03T13:38:51.466490,2023-09-03T13:38:51.466490,5,Apertura,Estadio Azteca,Marco Antonio Ortíz Nava,André Soares Jardine,Rafael Edgar Dudamel Ochoa,1.1.0,2,2,2023/2024,Win
3889702,2023-09-17,03:10:00.000,Mexico - Liga MX,2023/2024,América,Guadalajara,4,0,,False,False,Complete,Normal,available,available,2023-10-29T02:09:54.488951,2023-10-29T02:09:54.488951,8,Apertura,Estadio Azteca,Fernando Guerrero Ramírez,André Soares Jardine,Veljko Paunovic,1.1.0,2,2,2023/2024,Win
