match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name
3939861,2024-08-31,01:00:00.000,Mexico - Liga MX,2024/2025,Atlético San Luis,Atlas,2,1,,False,False,Complete,Normal,available,available,2024-09-08T17:57:59.351088,2024-09-08T17:57:59.351088,6,Apertura,Estadio Alfonso Lastras Ramírez (San Luis Potosí),Jorge Abraham Camacho Peregrina,Domènec Torrent Font,Beñat San José Gil,1.1.0,2,2,2024/2025
3939842,2024-07-18,01:00:00.000,Mexico - Liga MX,2024/2025,Necaxa,Monterrey,0,1,,False,False,Complete,Normal,available,available,2024-07-24T15:42:02.953164,2024-07-24T15:42:02.953164,3,Apertura,Estadio Victoria de Aguascalientes,Jesus Rafael Lopez Valle,Eduardo Fentanes Orozco,Fernando Ortiz,1.1.0,2,2,2024/2025
3972043,2025-01-29,01:00:00.000,Mexico - Liga MX,2024/2025,América,Atlético San Luis,3,0,,False,False,Complete,Normal,available,available,2025-01-29T13:55:22.922153,2025-01-29T13:55:22.922153,4,Clausura,Estadio Ciudad de los Deportes,Jorge Abraham Camacho Peregrina,André Soares Jardine,Domènec Torrent Font,1.1.0,2,2,2024/2025
3939848,2024-07-21,03:10:00.000,Mexico - Liga MX,2024/2025,Juárez,América,1,2,,False,False,Complete,Normal,available,available,2024-07-27T15:11:05.854368,2024-07-27T15:11:05.854368,4,Apertura,Estadio Olímpico Benito Juárez (Ciudad Juárez),Maximiliano Quintero Hernández,Maurício Nogueira Barbieri,André Soares Jardine,1.1.0,2,2,2024/2025
3939865,2024-08-31,23:05:00.000,Mexico - Liga MX,2024/2025,Guadalajara,Juárez,5,0,,False,False,Complete,Normal,available,available,2024-09-03T17:07:19.658855,2024-09-03T17:07:19.658855,6,Apertura,Estadio Akron,Adonai Escobedo González,Fernando Rubén Gago,Maurício Nogueira Barbieri,1.1.0,2,2,2024/2025
3939876,2024-09-15,00:30:00.000,Mexico - Liga MX,2024/2025,América,Guadalajara,1,0,,False,False,Complete,Normal,available,available,2024-09-15T12:52:20.302645,2024-09-15T12:52:20.302645,7,Apertura,Estadio Ciudad de los Deportes,Víctor Alfonso Cáceres Hernández,André Soares Jardine,Fernando Rubén Gago,1.1.0,2,2,2024/2025
3939907,2024-10-05,03:00:00.000,Mexico - Liga MX,2024/2025,Tijuana,Pachuca,2,1,,False,False,Complete,Normal,available,available,2025-01-05T15:09:57.534609,2025-01-05T15:09:57.534609,11,Apertura,Estadio Caliente,Iván Antonio López Sánchez,Juan Carlos Osorio Arbeláez,Jorge Guillermo Almada Álves,1.1.0,2,2,2024/2025
3969398,2024-12-02,01:00:00.000,Mexico - Liga MX,2024/2025,Tigres UANL,Atlético San Luis,0,0,,False,False,Complete,Normal,available,available,2024-12-26T15:45:20.480258,2024-12-26T15:45:20.480258,21,Apertura - Quarter-finals,Estadio Universitario BUAP,Adonai Escobedo González,Veljko Paunovic,Domènec Torrent Font,1.1.0,2,2,2024/2025
3939835,2024-07-17,01:00:00.000,Mexico - Liga MX,2024/2025,Atlas,Santos Laguna,1,0,,False,False,Complete,Normal,available,available,2024-07-17T15:19:41.020597,2024-07-17T15:19:41.020597,3,Apertura,Estadio Jalisco,Luis Enrique Santander Aguirre,Beñat San José Gil,Marcos Ignacio Ambriz Espinoza,1.1.0,2,2,2024/2025
3972106,2025-03-08,01:00:00.000,Mexico - Liga MX,2024/2025,Tigres UANL,Querétaro,1,0,,False,False,Complete,Normal,available,available,2025-03-08T15:31:37.265789,2025-03-08T15:31:37.265789,11,Clausura,Estadio Universitario de Nuevo León,Iván Antonio López Sánchez,Guido Hernán Pizarro Demestri,Benjamín Mora Mendívil,1.1.0,2,2,2024/2025
